,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Total Yds,Total Yds,Total Yds,,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
468,Tyrion Davis-Price,SFO,23,RB,1,0,,,,,0,0,,,,,,,6,21,0,1,50.0,15,3.5,21.0,6.0,6,3.5,21,0,,DaviTy03
469,Jared Goff,DET,29,QB,17,17,,,,,0,0,,,,,,,32,21,2,5,21.9,11,0.7,1.2,1.9,32,0.7,21,2,6,GoffJa00
470,Zonovan Knight,DET,22,RB,2,0,1,1,8,8.0,0,0,100.0,8,0.5,4.0,100.0%,8.0,3,13,0,0,33.3,8,4.3,6.5,1.5,4,5.3,21,0,,KnigZo00
471,Ben Sims,GNB,23,TE,17,1,6,4,21,5.3,1,3,66.7,12,0.2,1.2,66.7%,3.5,,,0,0,,,,,,4,5.3,21,1,,SimsBe00
472,Trevon Wesco,TEN,28,TE,15,10,3,1,21,21.0,0,1,33.3,21,0.1,1.4,33.3%,7.0,,,0,0,,,,,,1,21.0,21,0,,WescTr00
473,Malik Willis,TEN,24,QB,3,0,,,,,0,0,,,,,,,5,21,0,1,40.0,11,4.2,7.0,1.7,5,4.2,21,0,1,WillMa12
474,Kayshon Boutte,NWE,21,WR,5,0,7,2,19,9.5,0,1,28.6,11,0.4,3.8,28.6%,2.7,,,0,0,,,,,,2,9.5,19,0,,BoutKa00
475,Jacoby Brissett,WAS,31,QB,3,0,,,,,0,0,,,,,,,3,19,0,0,66.7,10,6.3,6.3,1.0,3,6.3,19,0,,BrisJa00
476,Elijah Dotson,LAC,24,RB,4,0,2,2,13,6.5,0,0,100.0,7,0.5,3.3,100.0%,6.5,4,6,0,0,25.0,2,1.5,1.5,1.0,6,3.2,19,0,,DotsEl00
477,Zach Evans,LAR,22,RB,10,0,,,,,0,0,,,,,,,9,19,0,0,0.0,5,2.1,1.9,0.9,9,2.1,19,0,,EvanZa00
478,Zach Pascal,ARI,29,WR,14,1,15,4,19,4.8,0,1,20.0,9,0.3,1.4,26.7%,1.3,,,0,0,,,,,,4,4.8,19,0,,PascZa00
479,Brett Rypien,LAR,27,QB,2,1,,,,,0,0,,,,,,,3,19,0,1,66.7,8,6.3,9.5,1.5,3,6.3,19,0,2,RypiBr00
480,Brandin Echols,NYJ,26,CB,14,1,1,1,18,18.0,0,1,100.0,18,0.1,1.3,100.0%,18.0,,,0,0,,,,,,1,18.0,18,0,,EchoBr00
481,Miles Boykin,PIT,27,WR,17,0,4,3,17,5.7,0,0,50.0,6,0.2,1.0,75.0%,4.3,,,0,0,,,,,,3,5.7,17,0,,BoykMi00
482,Michael Burton,DEN,31,FB,17,3,3,3,8,2.7,0,2,66.7,4,0.2,0.5,100.0%,2.7,7,9,0,4,57.1,4,1.3,0.5,0.4,10,1.7,17,0,,BurtMi00
483,Chris Manhertz,DEN,31,TE,16,4,4,2,16,8.0,0,1,50.0,10,0.1,1.0,50.0%,4.0,,,0,0,,,,,,2,8.0,16,0,,ManhCh00
484,Laquon Treadwell,BAL,28,WR,5,1,3,1,16,16.0,0,1,33.3,16,0.2,3.2,33.3%,5.3,,,0,0,,,,,,1,16.0,16,0,,TreaLa00
485,Sam Darnold,SFO,26,QB,10,1,,,,,0,0,,,,,,,21,15,1,3,23.8,9,0.7,1.5,2.1,21,0.7,15,1,3,DarnSa00
486,Jaren Hall,MIN,25,QB,3,2,,,,,0,0,,,,,,,6,14,0,0,16.7,8,2.3,4.7,2.0,6,2.3,14,0,2,HallJa00
487,Drew Lock,SEA,27,QB,4,2,,,,,0,0,,,,,,,5,14,0,1,20.0,11,2.8,3.5,1.3,5,2.8,14,0,,LockDr00
488,Willie Snead,SFO,31,WR,4,0,3,2,14,7.0,0,0,66.7,9,0.5,3.5,66.7%,4.7,,,0,0,,,,,,2,7.0,14,0,,SneaWi00
489,Alex Armah,WAS,29,RB,8,0,3,3,13,4.3,0,1,33.3,10,0.4,1.6,100.0%,4.3,,,0,0,,,,,,3,4.3,13,0,,ArmaAl00
490,Jashaun Corbin,NYG,23,RB,6,0,3,3,12,4.0,0,1,33.3,7,0.5,2.0,100.0%,4.0,1,1,0,1,100.0,1,1.0,0.2,0.2,4,3.3,13,0,,CorbJa01
491,Kene Nwangwu,MIN,25,RB,9,0,,,,,0,0,,,,,,,5,13,0,0,40.0,8,2.6,1.4,0.6,5,2.6,13,0,,NwanKe00
492,Devine Ozigbo,DET,27,RB,3,0,1,1,8,8.0,0,0,100.0,8,0.3,2.7,100.0%,8.0,3,5,0,1,66.7,4,1.7,1.7,1.0,4,3.3,13,0,,OzigDe01
493,Malik Taylor,NYJ,28,WR,3,0,4,2,13,6.5,0,0,25.0,7,0.7,4.3,50.0%,3.3,,,0,0,,,,,,2,6.5,13,0,,TaylMa01
494,Andy Dalton,CAR,36,QB,3,1,,,,,0,0,,,,,,,3,12,0,2,66.7,10,4.0,4.0,1.0,3,4.0,12,0,,DaltAn00
495,Ross Dwelley,SFO,28,TE,12,0,2,1,12,12.0,0,1,50.0,12,0.1,1.0,50.0%,6.0,,,0,0,,,,,,1,12.0,12,0,,DwelRo00
496,John FitzPatrick,ATL,23,TE,9,0,1,1,12,12.0,0,1,100.0,12,0.1,1.3,100.0%,12.0,,,0,0,,,,,,1,12.0,12,0,,FitzJo00
497,Jakob Johnson,LVR,29,FB,13,5,2,1,12,12.0,0,0,50.0,12,0.1,0.9,50.0%,6.0,,,0,0,,,,,,1,12.0,12,0,,JohnJa12
498,Eric Saubert,2TM,29,,10,1,3,3,12,4.0,0,1,100.0,5,0.3,1.2,100.0%,4.0,,,0,0,,,,,,3,4.0,12,0,,SaubEr00
499,Chris Evans,CIN,26,RB,8,0,1,1,-1,-1.0,0,0,0.0,-1,0.1,-0.1,100.0%,-1.0,2,12,0,0,0.0,7,6.0,1.5,0.3,3,3.7,11,0,,EvanCh02
500,Collin Johnson,CHI,26,WR,3,0,1,1,11,11.0,0,1,100.0,11,0.3,3.7,100.0%,11.0,,,0,0,,,,,,1,11.0,11,0,,JohnCo01
501,Anthony McFarland Jr.,PIT,24,RB,3,0,2,2,11,5.5,0,1,100.0,6,0.7,3.7,100.0%,5.5,,,0,0,,,,,,2,5.5,11,0,,McFaAn00
502,Keisean Nixon+,GNB,26,CB,17,13,,,,,0,0,,,,,,,1,11,0,1,100.0,11,11.0,0.6,0.1,1,11.0,11,0,3,NixoKe00
503,Aidan O'Connell,LVR,25,QB,11,10,,,,,0,0,,,,,,,17,11,1,7,41.2,3,0.6,1.0,1.5,17,0.6,11,1,4,OConAi00
504,Tylan Wallace,BAL,24,WR,11,0,2,1,11,11.0,0,1,50.0,11,0.1,1.0,50.0%,5.5,,,0,0,,,,,,1,11.0,11,0,,WallTy00
505,Jonathan Ward,TEN,26,RB,7,0,,,,,0,0,,,,,,,3,11,0,1,33.3,8,3.7,1.6,0.4,3,3.7,11,0,,WardJo00
506,Blake Gillikin,ARI,25,P,13,0,,,,,0,0,,,,,,,1,10,0,1,100.0,10,10.0,0.8,0.1,1,10.0,10,0,,GillBl00
507,Cody Thompson,SEA,27,WR,7,0,1,1,10,10.0,0,0,0.0,10,0.1,1.4,100.0%,10.0,,,0,0,,,,,,1,10.0,10,0,,ThomCo04
508,Simi Fehoko,LAC,26,WR,6,0,2,1,9,9.0,1,1,50.0,9,0.2,1.5,50.0%,4.5,,,0,0,,,,,,1,9.0,9,1,,FehoSi00
509,Tucker Fisk,ATL,24,TE,6,2,1,1,9,9.0,0,1,100.0,9,0.2,1.5,100.0%,9.0,,,0,0,,,,,,1,9.0,9,0,,FiskTu00
510,Trishton Jackson,MIN,25,WR,7,0,4,2,9,4.5,0,0,0.0,7,0.3,1.3,50.0%,2.3,,,0,0,,,,,,2,4.5,9,0,,JackTr02
511,Davis Mills,HOU,25,QB,6,0,,,,,0,0,,,,,,,2,9,0,0,50.0,9,4.5,1.5,0.3,2,4.5,9,0,,MillDa02
512,Tyler Johnson,LAR,25,WR,1,0,3,2,8,4.0,1,1,33.3,8,2.0,8.0,66.7%,2.7,,,0,0,,,,,,2,4.0,8,1,,JohnTy00
513,Mason Rudolph,PIT,28,QB,4,3,,,,,0,0,,,,,,,10,8,0,4,40.0,7,0.8,2.0,2.5,10,0.8,8,0,3,RudoMa00
514,Jarrett Stidham,DEN,27,QB,3,2,,,,,0,0,,,,,,,9,8,0,1,22.2,4,0.9,2.7,3.0,9,0.9,8,0,1,StidJa00
515,Evan Hull,IND,23,RB,1,0,1,1,6,6.0,0,0,100.0,6,1.0,6.0,100.0%,6.0,1,1,0,0,0.0,1,1.0,1.0,1.0,2,3.5,7,0,,HullEv00
516,Cole Fotheringham,LVR,26,TE,2,0,1,1,6,6.0,0,0,100.0,6,0.5,3.0,100.0%,6.0,,,0,0,,,,,,1,6.0,6,0,,FothCo00
517,Mason Kinsey,TEN,25,WR,6,0,1,1,6,6.0,0,0,0.0,6,0.2,1.0,100.0%,6.0,,,0,0,,,,,,1,6.0,6,0,,KinsMa00
518,Kevin Rader,TEN,28,TE,14,0,3,1,6,6.0,0,0,33.3,6,0.1,0.4,33.3%,2.0,,,0,0,,,,,,1,6.0,6,0,,RadeKe00
519,Malcolm Rodriguez,DET,24,LB,17,3,1,1,6,6.0,0,1,100.0,6,0.1,0.4,100.0%,6.0,,,0,0,,,,,,1,6.0,6,0,,RodrMa00
520,Logan Woodside,ATL,28,QB,1,0,,,,,0,0,,,,,,,1,6,0,0,100.0,6,6.0,6.0,1.0,1,6.0,6,0,,WoodLo00
521,Tim Boyle,NYJ,29,QB,3,2,,,,,0,0,,,,,,,4,5,0,3,75.0,2,1.3,1.7,1.3,4,1.3,5,0,2,BoylTi00
522,D'Wayne Eskridge,SEA,26,WR,4,0,1,0,0,,0,0,0.0,0,0.0,0.0,0.0%,0.0,2,5,0,1,50.0,10,2.5,1.3,0.5,2,2.5,5,0,,EskrDW00
523,Greg Van Roten,LVR,33,G,17,17,0,0,5,,0,0,,,0.0,0.3,0.0%,,,,0,0,,,,,,,,5,0,1,VanRGr00
524,Jesper Horsted,LVR,26,TE,13,0,1,1,4,4.0,0,0,100.0,4,0.1,0.3,100.0%,4.0,,,0,0,,,,,,1,4.0,4,0,,HorsJe00
525,Dan Skipper,DET,29,T,11,1,1,1,4,4.0,0,0,100.0,4,0.1,0.4,100.0%,4.0,,,0,0,,,,,,1,4.0,4,0,,SkipDa00
526,Ashtyn Davis,NYJ,27,S,17,5,,,,,0,0,,,,,,,2,3,0,1,50.0,4,1.5,0.2,0.1,2,1.5,3,0,1,DaviAs00
527,Colton Dowell,TEN,24,WR,10,1,2,1,3,3.0,0,0,0.0,3,0.1,0.3,50.0%,1.5,,,0,0,,,,,,1,3.0,3,0,,DoweCo00
528,Reggie Gilliam,BUF,26,FB,17,0,1,1,3,3.0,0,0,0.0,3,0.1,0.2,100.0%,3.0,,,0,0,,,,,,1,3.0,3,0,,GillRe00
529,Jalen Reeves-Maybin*,DET,28,LB,17,0,,,,,0,0,,,,,,,2,3,0,1,50.0,3,1.5,0.2,0.1,2,1.5,3,0,,ReevJa00
530,Cole Strange,NWE,25,OL,10,10,0,0,3,,0,0,,,0.0,0.3,0.0%,,,,0,0,,,,,,,,3,0,,StraCo01
531,Nick Vannett,LAC,30,TE,8,5,1,1,3,3.0,0,1,100.0,3,0.1,0.4,100.0%,3.0,,,0,0,,,,,,1,3.0,3,0,,VannNi00
532,Joe Flacco,CLE,38,QB,5,5,,,,,0,0,,,,,,,9,2,0,3,33.3,3,0.2,0.4,1.8,9,0.2,2,0,4,FlacJo00
533,Antoine Green,DET,24,WR,9,0,2,1,2,2.0,0,0,0.0,2,0.1,0.2,50.0%,1.0,,,0,0,,,,,,1,2.0,2,0,,GreeAn00
534,Amani Hooker,TEN,25,DB,13,13,,,,,0,0,,,,,,,1,2,0,1,100.0,2,2.0,0.2,0.1,1,2.0,2,0,,HookAm00
535,Ko Kieft,TAM,25,TE,16,6,5,1,2,2.0,1,1,20.0,2,0.1,0.1,20.0%,0.4,,,0,0,,,,,,1,2.0,2,1,,KiefKo00
536,Kwamie Lassiter II,CIN,25,WR,1,0,1,1,2,2.0,0,0,0.0,2,1.0,2.0,100.0%,2.0,,,0,0,,,,,,1,2.0,2,0,,LassKw00
537,Giovanni Ricci,CAR,27,TE,5,0,1,1,2,2.0,0,0,0.0,2,0.2,0.4,100.0%,2.0,,,0,0,,,,,,1,2.0,2,0,,RiccGi00
538,Jeffery Simmons,TEN,26,DT,12,12,1,1,2,2.0,1,1,100.0,2,0.1,0.2,100.0%,2.0,,,0,0,,,,,,1,2.0,2,1,,SimmJe01
539,Zeke Turner,ARI,27,LB,16,1,,,,,0,0,,,,,,,1,2,0,1,100.0,2,2.0,0.1,0.1,1,2.0,2,0,,TurnZe00
540,Case Keenum,HOU,35,QB,2,2,,,,,0,0,,,,,,,2,1,0,0,0.0,1,0.5,0.5,1.0,2,0.5,1,0,1,KeenCa00
