,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Total Yds,Total Yds,Total Yds,,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
161,Darnell Mooney,CHI,26,WR,15,14,61,31,414,13.4,1,20,41.0,41,2.1,27.6,50.8%,6.8,2,5,0,0,0.0,3,2.5,0.3,0.1,33,12.7,419,1,,MoonDa00
162,Latavius Murray,BUF,33,RB,16,4,22,17,119,7.0,0,7,45.5,22,1.1,7.4,77.3%,5.4,79,300,4,27,57.0,29,3.8,18.8,4.9,96,4.4,419,4,1,MurrLa00
163,Michael Gallup,DAL,27,WR,17,13,57,34,418,12.3,2,19,50.9,41,2.0,24.6,59.6%,7.3,,,0,0,,,,,,34,12.3,418,2,,GallMi00
164,Jonathan Mingo,CAR,22,WR,15,14,85,43,418,9.7,0,15,32.9,40,2.9,27.9,50.6%,4.9,,,0,0,,,,,,43,9.7,418,0,1,MingJo00
165,Noah Fant,SEA,26,TE,17,17,43,32,414,12.9,0,16,60.5,51,1.9,24.4,74.4%,9.6,,,0,0,,,,,,32,12.9,414,0,,FantNo00
166,Clyde Edwards-Helaire,KAN,24,RB,15,3,22,17,188,11.1,1,7,50.0,48,1.1,12.5,77.3%,8.5,70,223,1,12,40.0,20,3.2,14.9,4.7,87,4.7,411,2,,EdwaCl00
167,Isaiah Likely,BAL,23,TE,17,8,40,30,411,13.7,5,15,60.0,54,1.8,24.2,75.0%,10.3,,,0,0,,,,,,30,13.7,411,5,,LikeIs00
168,Kendrick Bourne,NWE,28,WR,8,5,55,37,406,11.0,4,15,49.1,36,4.6,50.8,67.3%,7.4,1,4,0,1,100.0,4,4.0,0.5,0.1,38,10.8,410,4,1,BourKe00
169,Tre Tucker,LVR,22,WR,16,1,34,19,331,17.4,2,12,41.2,50,1.2,20.7,55.9%,9.7,10,77,0,4,70.0,34,7.7,4.8,0.6,29,14.1,408,2,,TuckTr00
170,Marvin Mims*,DEN,21,WR,16,7,33,22,377,17.1,1,9,48.5,60,1.4,23.6,66.7%,11.4,9,30,0,2,44.4,11,3.3,1.9,0.6,31,13.1,407,1,2,MimsMa00
171,Trey Palmer,TAM,22,WR,17,8,68,39,385,9.9,3,17,41.2,54,2.3,22.6,57.4%,5.7,3,22,0,1,66.7,13,7.3,1.3,0.2,42,9.7,407,3,3,PalmTr00
172,Emari Demercado,ARI,24,RB,14,2,30,21,119,5.7,0,4,30.0,22,1.5,8.5,70.0%,4.0,58,284,2,12,43.1,49,4.9,20.3,4.1,79,5.1,403,2,,DemeEm00
173,DeVante Parker,NWE,30,WR,13,13,55,33,394,11.9,0,17,49.1,30,2.5,30.3,60.0%,7.2,,,0,0,,,,,,33,11.9,394,0,,ParkDe01
174,Demarcus Robinson,LAR,29,WR,16,4,39,26,371,14.3,4,20,59.0,37,1.6,23.2,66.7%,9.5,1,23,0,1,100.0,23,23.0,1.4,0.1,27,14.6,394,4,2,RobiDe01
175,Patrick Mahomes*,KAN,28,QB,16,16,,,,,0,0,,,,,,,75,389,0,27,50.7,25,5.2,24.3,4.7,75,5.2,389,0,5,MahoPa00
176,Rashod Bateman,BAL,24,WR,16,12,56,32,367,11.5,1,20,50.0,29,2.0,22.9,57.1%,6.6,1,18,0,1,100.0,18,18.0,1.1,0.1,33,11.7,385,1,,BateRa00
177,Jameson Williams,DET,22,WR,12,10,42,24,354,14.8,2,14,47.6,63,2.0,29.5,57.1%,8.4,3,29,1,1,100.0,19,9.7,2.4,0.3,27,14.2,383,3,1,WillJa11
178,Nelson Agholor,BAL,30,WR,17,3,45,35,381,10.9,4,19,55.6,37,2.1,22.4,77.8%,8.5,,,0,0,,,,,,35,10.9,381,4,1,AghoNe00
179,Jalin Hyatt,NYG,22,WR,17,7,40,23,373,16.2,0,11,47.5,58,1.4,21.9,57.5%,9.3,,,0,0,,,,,,23,16.2,373,0,1,HyatJa00
